iteration; levels; best; avg; dev
42; 37; 68; 72.1117; 0.532747
43; 38; 68; 71.9818; 0.532372
44; 39; 68; 71.8741; 0.518511
45; 40; 68; 71.735; 0.515186
46; 41; 68; 71.6144; 0.520365
47; 42; 68; 71.5206; 0.506673
48; 43; 68; 71.4179; 0.495182
49; 44; 68; 71.326; 0.483869
50; 45; 68; 71.2286; 0.480111
51; 46; 68; 71.1561; 0.467439
52; 47; 68; 71.0778; 0.458835
53; 48; 67; 70.9588; 0.53587
54; 48; 67; 70.8548; 0.548001
55; 49; 67; 70.8644; 0.559988
56; 50; 66; 70.7777; 0.548942
57; 51; 66; 70.6573; 0.558736
58; 52; 66; 70.5603; 0.547782
59; 53; 66; 70.473; 0.535282
60; 53; 66; 70.3867; 0.523225
61; 54; 66; 70.3766; 0.528334
62; 55; 66; 70.2849; 0.544607
63; 56; 66; 70.1964; 0.54291
64; 57; 66; 70.1171; 0.533363
65; 58; 66; 70.0261; 0.539653
66; 59; 66; 69.9352; 0.550558
67; 60; 66; 69.843; 0.566949
68; 61; 66; 69.7664; 0.562094
69; 62; 66; 69.6921; 0.558515
70; 63; 66; 69.627; 0.551069
71; 64; 65; 69.5626; 0.543972
72; 65; 65; 69.4545; 0.602001
73; 66; 65; 69.3582; 0.605648
74; 67; 65; 69.2748; 0.598949
75; 68; 64; 69.1851; 0.602863
76; 69; 64; 69.0898; 0.60182
77; 70; 63; 69.0025; 0.595937
78; 71; 63; 68.8892; 0.608044
79; 71; 63; 68.7696; 0.62634
80; 71; 63; 68.7507; 0.661716
81; 72; 63; 68.7334; 0.681872
82; 73; 63; 68.6418; 0.675684
83; 73; 63; 68.5552; 0.665214
84; 74; 63; 68.5287; 0.681223
85; 75; 63; 68.4102; 0.708248
86; 76; 63; 68.3305; 0.697877
87; 76; 63; 68.2427; 0.696679
88; 77; 63; 68.2294; 0.69922
89; 78; 63; 68.1476; 0.698186
90; 79; 63; 68.0502; 0.709619
91; 80; 63; 67.9811; 0.701401
92; 81; 63; 67.9091; 0.694698
93; 81; 63; 67.8219; 0.699984
94; 81; 63; 67.8102; 0.701813
95; 82; 63; 67.794; 0.706063
96; 83; 63; 67.7211; 0.702924
97; 84; 62; 67.6431; 0.708418
98; 84; 62; 67.539; 0.753827
iteration; levels; best; avg; dev
0; 1; 84; 0; 0
1; 1; 84; 84; 0
2; 2; 81; 90.5; 6.5
3; 3; 81; 85.75; 6.5
4; 4; 80; 84.1667; 4.33333
5; 5; 80; 83.1667; 3.06904
6; 6; 77; 82.5667; 2.20809
7; 7; 77; 81.4083; 1.93682
8; 7; 77; 80.8429; 1.58811
9; 8; 77; 80.8469; 1.57348
10; 9; 75; 80.3964; 1.35177
11; 9; 75; 79.7207; 1.2634
12; 10; 75; 79.8481; 1.3568
13; 11; 75; 79.3345; 1.20716
14; 12; 75; 78.8993; 1.10611
15; 13; 75; 78.5385; 1.03167
16; 13; 75; 78.2646; 0.940403
17; 14; 75; 78.2615; 0.931633
18; 14; 75; 78.0079; 0.872893
19; 15; 74; 78.0094; 0.863512
20; 16; 74; 77.7046; 0.861397
21; 17; 74; 77.4139; 0.860852
22; 18; 74; 77.2067; 0.807275
23; 18; 74; 77.0275; 0.758838
24; 18; 74; 76.9986; 0.787548
25; 18; 74; 76.9562; 0.836872
26; 19; 74; 76.9326; 0.85366
27; 19; 74; 76.7695; 0.81145
28; 20; 74; 76.7676; 0.807
29; 20; 74; 76.5817; 0.811112
30; 21; 74; 76.5668; 0.815605
31; 21; 72; 76.4361; 0.778516
32; 21; 72; 76.3512; 0.948393
33; 22; 72; 76.3044; 0.98512
34; 23; 72; 76.1278; 0.973891
35; 23; 72; 75.8552; 0.995385
36; 24; 72; 75.8683; 1.02123
37; 25; 71; 75.643; 0.990541
38; 25; 71; 75.3941; 0.990089
39; 26; 71; 75.3817; 1.01049
40; 26; 71; 75.1917; 0.970024
41; 27; 71; 75.1728; 0.969331
42; 28; 70; 74.9976; 0.92787
43; 28; 70; 74.7655; 0.923281
44; 29; 70; 74.7558; 0.946714
45; 29; 70; 74.5032; 0.974656
46; 30; 70; 74.5094; 0.995222
47; 31; 70; 74.3277; 0.96153
48; 32; 70; 74.14; 0.968932
49; 32; 70; 73.9839; 0.948236
50; 33; 70; 73.9664; 0.948322
51; 34; 70; 73.8359; 0.917824
52; 35; 70; 73.719; 0.887584
53; 36; 70; 73.6085; 0.858868
54; 36; 69; 73.5047; 0.832211
55; 36; 69; 73.4682; 0.868412
56; 37; 69; 73.4612; 0.868299
57; 37; 69; 73.3142; 0.852968
58; 38; 68; 73.3076; 0.851002
59; 38; 68; 73.1302; 0.871888
60; 38; 68; 73.105; 0.885685
61; 39; 68; 73.1027; 0.88502
62; 39; 68; 72.949; 0.868506
63; 39; 68; 72.94; 0.885819
64; 39; 68; 72.9279; 0.901501
65; 40; 68; 72.9007; 0.915625
66; 41; 68; 72.7661; 0.895431
67; 41; 67; 72.639; 0.87383
68; 41; 67; 72.5943; 0.901379
69; 42; 67; 72.5805; 0.909147
70; 42; 67; 72.4136; 0.907397
71; 42; 67; 72.4097; 0.925232
72; 43; 67; 72.4039; 0.925658
73; 44; 67; 72.2654; 0.904312
74; 44; 67; 72.1266; 0.883612
75; 45; 67; 72.1052; 0.886729
76; 45; 67; 71.9834; 0.866037
77; 45; 67; 71.9783; 0.864334
78; 45; 67; 71.958; 0.870284
79; 46; 67; 71.9429; 0.87484
80; 47; 67; 71.8301; 0.855481
81; 47; 67; 71.7209; 0.836435
82; 48; 67; 71.7081; 0.838344
83; 49; 67; 71.5979; 0.81984
